image,caption,caption(English)
1.jpg,"Phía bên ph?i có v?t c?n, ?i ch?ch v? bên trái 1 chút","There is an obstacle on the right, move slightly to the left"
1.jpg,Có v?t c?n ? phía bên ph?i,There is an obstacle on the right side
1.jpg,"Bên ph?i có v?t c?n, ?i sang bên trái 1 tí","There is an obstacle on the right, move a little to the left."
1.jpg,"Bên trái t??ng ??i v?ng, bên ph?i có v?t c?n","The left side is relatively clear, the right side has an obstacle"
1.jpg,V?t c?n ? phía ph?i,Obstacle on the right side
2.jpg,"Phía tr??c có v?t c?n, bên ph?i là làn ???ng ?i b?","There is an obstacle ahead, the right side is a pedestrian lane"
2.jpg,"Phía tr??c có ch??ng ng?i v?t, bên ph?i là ???ng xe ch?y","There is an obstacle ahead, and on the right is a roadway."
2.jpg,"Ch??ng ng?i v?t ? phía tr??c, bên ph?i là làn ???ng","Obstacle ahead, the right side is the lane"
2.jpg,"Có v?t c?n ? phía tr??c, ?i ch?ch v? bên ph?i 1 chút nh?ng không ?i quá, bên ph?i là ???ng xe ch?y","There is an obstacle ahead, move slightly to the right but not too much, the right side is the roadway."
2.jpg,Ch??ng ng?i v?t n?m ? v? trí tr??c m?t,The obstacle is located in front.
3.jpg,Phía tr??c ???ng t??ng ??i v?ng,The road ahead is relatively empty
3.jpg,"Không có ch??ng ng?i, c? ?i th?ng","No obstacles, just go straight"
3.jpg,"Tho?i mái ti?n lên, không có gì c?n tr?","Feel free to move forward, nothing is obstructing"
3.jpg,"???ng tr?ng, c? ?i ti?p","The road is clear, just keep going"
3.jpg,"Không v??ng gì, c? ?i tho?i mái","Nothing is in the way, just go comfortably"
3.jpg,C? t? nhiên ti?n v? phía tr??c,Feel free to move forward
4.jpg,"Phía tr??c có v?t c?n nh?, lách qua ???c, bên trái là làn xe ch?y.","There is a small obstacle ahead, can be maneuvered around, on the left is the traffic lane."
4.jpg,"Có ch??ng ng?i phía tr??c nh?ng không l?n, có th? né, bên trái là ???ng xe ch?y.","There is an obstacle ahead but not large, can be avoided, on the left is the roadway."
4.jpg,"V?t c?n phía tr??c không ?áng ng?i, d? lách qua, bên trái là làn xe.","The obstacle ahead is not a concern, easy to maneuver around, the left is the vehicle lane."
4.jpg,"Có v?t c?n tr??c m?t nh?ng nh?, né ???c, bên trái là ???ng xe.","There is a small obstacle ahead that can be avoided, and on the left is the road."
4.jpg,"Có v?t c?n tr??c m?t nh?ng nh?, né ???c, bên trái là ???ng xe.","There is a small obstacle ahead that can be avoided, and on the left is the road."
5.jpg,"Phía tr??c có v?t c?n, bên trái là ???ng ?i v?ng v?.","There is an obstacle ahead, the left side is a deserted road."
5.jpg,"Có ch??ng ng?i phía tr??c, bên trái là l?i ?i khá v?ng.","There is an obstacle ahead, the left side is a fairly empty path."
5.jpg,"V?t c?n tr??c m?t, ???ng bên trái tr?ng tr?i.","Obstacle ahead, the road on the left is clear."
5.jpg,"Tr??c có v?t c?n, bên trái là làn ???ng th?a ng??i.","Ahead is an obstacle, on the left is a less crowded lane."
5.jpg,"Phía tr??c b? ch?n, bên trái là con ???ng ít ng??i qua l?i.","The front is blocked, the left is a road with little traffic."
6.jpg,"Bên trái là ???ng xe ch?y, ?i lên bên ph?i là l?i qua ???ng.","On the left is the roadway, going up on the right is the crosswalk."
6.jpg,"Trái là làn xe ch?y, ph?i ?i lên là v?ch qua ???ng.","The left is the lane, the right going up is the crosswalk."
6.jpg,"Bên trái có xe ch?y, r? ph?i phía tr??c là ???ng sang bên kia.","On the left, there are vehicles moving, turning right ahead is the road to the other side."
6.jpg,"???ng xe ch?y bên trái, ti?n ph?i là ch? qua ???ng.","The road runs on the left, moving right is the crossing."
6.jpg,"Làn xe bên trái, ?i lên ph?i là ???ng b?ng qua.",The left lane going up is the crossing road.
7.jpg,"???ng khá nh?n nh?p, phía tr??c có v?t c?n, bên ph?i là v?a hè nhi?u ch??ng ng?i, ?i c?n th?n.","The road is quite busy, there is an obstacle ahead, the right side is a sidewalk with many obstructions, proceed carefully."
7.jpg,"???ng ?ông ?úc, tr??c có v?t c?n, v?a hè bên ph?i l?n x?n, chú ý khi ?i.","The road is crowded, there is an obstacle ahead, the sidewalk on the right is messy, be careful when walking."
